img,ndwi,ndvi,color1,color2,color3,var1,var2,var3,mean,std,skweness,kurtosis,gradient,energy,correlation,homo,area,perimeter,compactness,eccentricity
22584970,-106.49275838726228,12308.577625667995,94.32749938964844,123.21446228027344,127.07733154296875,3001.6035138011607,3348.439281201829,4019.7521985401404,5.960464477539063e-08,1.5642316081614585e-06,41.94577086015716,2683.69097008547,-0.00133514404296875,0.010809460050007698,0.9380421212486044,0.11768448806035955,65530,3057.2602435673207,234.1155804356842,117.17961541777659
22585933,-113.29589279202719,12311.177743333337,94.32707214355469,123.2125244140625,127.09439086914062,3001.8520539605547,3349.5500787285782,4019.3213515990137,5.960464477539063e-08,1.5677852243828712e-06,42.26535939504918,2719.8633768945574,-0.04781341552734375,0.010097148688245865,0.9223387236541816,0.10223035416281277,65531,3010.4257197881648,232.17221254314222,117.7760979548936
23837196,-284.29569816849653,2429.7715560528395,116.00094604492188,122.78709411621094,124.93870544433594,2685.5093985181825,2552.600712954537,2723.7659115599836,5.960464477539063e-08,2.075926166307613e-06,76.98874604943916,9557.337458551883,0.30669403076171875,0.010974874525978277,0.777852573607053,0.09812437656478602,65484,2152.298736066084,107.2254717612363,145.5831302442863
23837496,-278.3590091335997,2423.8213009271126,116.00331115722656,122.78575134277344,124.9422607421875,2685.440495020572,2553.5990407530253,2724.796715001564,5.960464477539063e-08,2.0751304861290926e-06,76.54819246897105,9348.559685678412,-0.06380462646484375,0.010385419360011637,0.7755244742032418,0.07910027695997392,65490,2133.3576105691295,106.05178013756895,145.38696868358466
28044117,1852.1173953289072,4460.029891507783,137.32257080078125,147.38352966308594,143.21316528320312,5504.08259359106,4793.787246430505,5046.958161637765,5.960464477539063e-08,4.9112128383542655e-06,496.1136673067214,357637.5867960365,-0.00339508056640625,0.01232845954295499,0.9597198417918937,0.12124422232713143,65508,5321.9191898578665,981.486180683331,129.70908375616955
28044758,1851.4343772221994,4461.511708508203,137.32652282714844,147.37948608398438,143.22303771972656,5506.128230862746,4793.400942705235,5047.160871238206,5.960464477539063e-08,4.938670050976725e-06,496.6446688218079,357007.54826786066,-0.1718902587890625,0.014229660954607239,0.9664346111441365,0.1558611615598316,65508,5384.824781448889,1014.3977252563661,130.41310936045545
21593778,5009.0721146130845,-2827.005968660462,121.84324645996094,109.94149780273438,97.71015930175781,3297.4732463249984,2695.903559914789,2655.86965142689,5.960464477539063e-08,1.819116889688228e-06,70.63855487306266,9888.663765818068,0.132110595703125,0.010047221376349813,0.8411543844574674,0.08686996289379642,65483,1843.841845922842,76.36497907327916,136.13913827965982
21593188,5002.746049906438,-2824.5605536209673,121.83091735839844,109.938232421875,97.71675109863281,3296.4608672406116,2695.363494336605,2653.5885780414374,5.960464477539063e-08,1.8161468386213966e-06,70.8992537873114,10033.960114025367,-0.04736328125,0.009782332041928299,0.8337611328823477,0.07644754726700294,65491,1769.628642487245,74.77578992095344,137.27720612676922
22440285,2544.727249626158,3729.023619600853,109.74269104003906,117.69027709960938,114.97860717773438,4182.194610586818,4138.629505078941,4498.72531138713,5.960464477539063e-08,1.3184475511870858e-06,49.86698542918704,9194.165728284546,-0.15845489501953125,0.007938035294307385,0.8341896020894157,0.0603306002529311,65454,911.5544366138002,53.03020887305994,99.90495410390422
22439823,2554.1045008715005,3744.922860845329,109.73344421386719,117.70094299316406,114.97013854980469,4182.738442030496,4139.009701264443,4499.189888934287,5.960464477539063e-08,1.323165219722254e-06,54.039266754139724,11701.357963149483,-0.2259674072265625,0.007418645370938952,0.7599480207951991,0.050620891518005445,65455,907.7199128346442,56.13371246830145,101.57340719767018
21458961,5002.762046924157,6776.421179956752,101.01020812988281,118.79376220703125,107.6337890625,2634.5299403508393,3041.221656643532,3155.3224935531616,5.960464477539063e-08,1.7308534210683866e-06,79.71792572004189,15374.307222990494,0.06494140625,0.012565103583055428,0.9182836477243421,0.14439974959629462,65509,3466.31511345701,231.39829717369645,128.4997354467953
21458353,4997.402481217231,6789.841314973745,101.00515747070312,118.79881286621094,107.62451171875,2635.1572304829915,3041.143071710599,3155.118285894394,5.960464477539063e-08,1.7328647421837807e-06,79.6946087105884,15374.299908449737,0.14037322998046875,0.01095777731232433,0.8571548279664443,0.10525081607353756,65511,3304.711037056153,214.2279004746768,129.36983408608347
23705436,5764.033210036507,8434.053238195904,111.42118835449219,130.5730743408203,119.72198486328125,3685.4237814040025,3536.468933823863,4041.7813806762033,5.960464477539063e-08,1.674301460789814e-06,62.758606406737435,7741.550210490045,0.0521392822265625,0.006960997368839662,0.5853481060702893,0.03680609501751232,65534,380.26807332528534,6.553673442252613,106.97672131764267
23706564,5765.826343883989,8411.38130782624,111.44767761230469,130.56512451171875,119.72065734863281,3682.115975749852,3534.5185249080273,4038.896989043717,5.960464477539063e-08,1.6777956474233386e-06,62.630239105080086,7586.942392433496,-0.1898651123046875,0.006942228897346211,0.590030623557434,0.03600923628516124,65533,378.71782079359116,5.887701340927963,105.91877556205584
24314725,2045.9457285145522,6069.233181398845,114.75436401367188,126.97207641601562,129.2868194580078,4284.987087279193,4206.796217341642,5321.911219092969,5.960464477539063e-08,1.7407990984860892e-06,86.47024297974744,15446.111539976384,-0.10425567626953125,0.009259980420641668,0.8817738634787589,0.07110844450259562,65500,1564.989032180456,81.47683559586991,102.82388799122523
24315072,2040.227791088538,6069.5784040271765,114.75379943847656,126.97087097167969,129.29388427734375,4285.223244531833,4204.158773692879,5321.619900338744,5.960464477539063e-08,1.7471095193928669e-06,88.46137424443435,16259.070900243425,0.0248565673828125,0.009985841835678917,0.9171640405000714,0.08465229423303292,65505,1675.693613644701,89.4260948823836,102.89535702348833
25052226,1519.647965562932,-173.78688396709984,133.7283172607422,126.54920959472656,121.98910522460938,4643.895380992919,3468.471485889341,3306.2819858001694,5.960464477539063e-08,2.202645423584177e-06,188.366718816155,68294.67025721907,0.05767822265625,0.010214894511887286,0.8425608245082974,0.09429858061878127,65489,3188.304832720494,491.31545545092973,142.16979745425994
25052107,1526.4493200811514,-166.78337032619675,133.72413635253906,126.55191040039062,121.98876953125,4645.053370081445,3468.401937882809,3306.2407796382904,5.960464477539063e-08,2.205743095929172e-06,186.58659805426055,66567.44939796044,-0.4215240478515625,0.0097989417499776,0.7793423285488839,0.09014009079538263,65489,3198.654075125412,499.45075577008083,141.6689510247867
23434171,1496.8940131533427,223.51609521681632,119.59822082519531,119.75723266601562,118.22161865234375,4091.0632896844695,3971.499840874479,4235.893817298675,5.960464477539063e-08,2.5552232968312797e-06,86.18124041905196,10596.410160896568,0.1569061279296875,0.0088142961715313,0.8740629264399397,0.08061954514691781,65488,1848.249962830805,90.15940725309031,111.54062484109791
23434472,1499.727898969584,219.6296084986433,119.59965515136719,119.75942993164062,118.22257995605469,4090.975969728005,3969.5262324920573,4236.565494170008,5.960464477539063e-08,2.555060357291163e-06,86.64067081545399,10759.80130604309,-0.20282745361328125,0.009065910057562281,0.9131051947486649,0.08515444487238379,65485,1858.249962830805,91.19806584864114,110.9481212241396
20455322,-3932.701302694457,3099.692898524715,94.30836486816406,102.43843078613281,115.37664794921875,1912.5392342318007,1964.5676203631444,2379.216229580924,5.960464477539063e-08,3.9247414011795e-06,140.7663788489564,29251.405779929017,-0.2980804443359375,0.023021445744097056,0.9831785225183407,0.31479634996493383,65515,10283.92982953188,1782.4671451883446,177.7915653828926
20455229,-3927.269630651218,3099.7971325147923,94.31123352050781,102.43896484375,115.371826171875,1912.5266230777968,1964.7579934597015,2380.251424252987,5.960464477539063e-08,3.924702505260832e-06,140.8681470739408,29218.64893389371,0.00475311279296875,0.01666059724495732,0.9458133977228677,0.1773189043649227,65515,10160.5095193151,1749.1138150505094,176.72150907175637
24609963,1785.650298052248,1811.440314637618,123.42512512207031,128.13131713867188,123.9617919921875,3561.3903593241494,3520.047239450769,3523.4906360891846,5.960464477539063e-08,2.482066743506429e-06,78.54163416214077,8791.802546616462,0.21170806884765625,0.008891245974218037,0.871750339841018,0.0766306567231258,65503,1323.4671708797584,41.76105651857756,123.39406969675781
24609830,1790.3113559269625,1817.689097615289,123.42033386230469,128.13461303710938,123.96125793457031,3561.806244861716,3519.0546027231317,3523.6283971191847,5.960464477539063e-08,2.4782169967936738e-06,78.22101139837866,8708.486547750197,-0.07275390625,0.008618576190668276,0.8738368075759719,0.06883618512447272,65507,1282.940258945177,40.489940780804815,123.73385955186461
